term,page,context,tag,score
ブレーキ,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,KNOWN,0.969234
ブレーキ効果,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,NEW,0.906273
ブレーキ試験方法,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,NEW,0.904484
信号機,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,KNOWN,0.890379
ブレーキ弁ハンドル,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,NEW,0.889208
常用ブレーキ,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,KNOWN,0.857588
切換スイッチ,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,KNOWN,0.840902
列車,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,KNOWN,0.831508
スイッチ,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,NEW,0.809704
パンタグラフ上昇,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,NEW,0.794183
パンタグラフ,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,KNOWN,0.787311
位置,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,NEW,0.771834
運転,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,NEW,0.73918
試験,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,NEW,0.723726
セクション,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,KNOWN,0.710018
ノッチ,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,KNOWN,0.66657
逆転ハンドル,1,動力車乗務員作業標準在来線電車編目1 動力車乗務員作業標準在来線電車編 2004年4月6日運第25号目 次第1章機器の取扱い パンタグラフ上昇の取扱い...................................................... 1 セクションでの運転方法.......................................................... 1 電車線区分標を避けての停止................................................... 1 交直切換スイッチの取扱い...................................................... 2 電圧降下したときの取扱い...................................................... 3 ノッチ扱い............................................................................... 3 逆ノッチの使用禁止................................................................. 4 逆転ハンドルの取扱い............................................................. 4 削除...................................................................................... 4 始発乗継、入換信号機による入換時における確認事項........ 5 乗継時のブレーキ弁ハンドルの取扱い.................................... 6 切換スイッチ 車掌スイッチを取扱う際の手順...................... 7 乗継時及び運転台変更時の機器の取扱い................................. 8 終着駅での車掌スイッチ 電灯制御スイッチの取扱い........... 11 第2章 ブレーキ 停止位置の確保........................................................................ 12 流し起動の取扱い.......................................................................13 列車組成時のブレーキ試験方法............................................... 13 常用ブレーキの取扱い............................................................. 14 緩解不良の防止........................................................................ 15 ブレーキ効果の確認................................................................. 15 2 0 2 4 年四,KNOWN,0.552207
