term;page;tag;score
ブレーキ;1;KNOWN;0,969234
ブレーキ効果;1;NEW;0,906273
ブレーキ試験方法;1;NEW;0,904484
信号機;1;KNOWN;0,890379
ブレーキ弁ハンドル;1;NEW;0,889208
常用ブレーキ;1;KNOWN;0,857588
切換スイッチ;1;KNOWN;0,840902
列車;1;KNOWN;0,831508
スイッチ;1;NEW;0,809704
パンタグラフ上昇;1;NEW;0,794183
パンタグラフ;1;KNOWN;0,787311
位置;1;NEW;0,771834
運転;1;NEW;0,73918
試験;1;NEW;0,723726
セクション;1;KNOWN;0,710018
ノッチ;1;KNOWN;0,66657
逆転ハンドル;1;KNOWN;0,552207
乗務員;1;KNOWN;0,511113
電車;1;KNOWN;0,475711
組成;1;KNOWN;0,429336
車掌;1;KNOWN;0,425622
逆転;1;KNOWN;0,418552
動力車;1;KNOWN;0,40382
ブレーキ;2;KNOWN;0,969234
自動ブレーキ;2;KNOWN;0,911602
速ブレーキ;2;NEW;0,91057
運転位置;2;KNOWN;0,888804
電気指令式ブレーキ;2;NEW;0,856493
直通ブレーキ;2;KNOWN;0,855202
非常ブレーキ;2;KNOWN;0,833223
直通予備ブレーキ;2;KNOWN;0,80437
位置;2;NEW;0,771834
標識;2;KNOWN;0,74583
運転;2;NEW;0,73918
車両;2;KNOWN;0,697039
架線終端標識;2;KNOWN;0,689131
架線;2;KNOWN;0,536181
乗務員;2;KNOWN;0,511113
電車;2;KNOWN;0,475711
連結;2;KNOWN;0,46645
指令;2;KNOWN;0,438663
解放;2;KNOWN;0,408542
動力車;2;KNOWN;0,40382
ブレーキ;3;KNOWN;0,969234
列車;3;KNOWN;0,831508
モニター装置;3;KNOWN;0,823347
装置;3;NEW;0,785571
運転;3;NEW;0,73918
乗務員;3;KNOWN;0,511113
回送;3;KNOWN;0,477043
電車;3;KNOWN;0,475711
調整;3;KNOWN;0,445949
指令;3;KNOWN;0,438663
動力車;3;KNOWN;0,40382
列車;5;KNOWN;0,831508
スイッチ;5;NEW;0,809704
運転中ウッドセクション;5;NEW;0,792354
パンタグラフ;5;KNOWN;0,787311
セクションゾーン看板;5;NEW;0,739733
セクション;5;KNOWN;0,710018
車両;5;KNOWN;0,697039
ノッチ;5;KNOWN;0,66657
架線;5;KNOWN;0,536181
乗務員;5;KNOWN;0,511113
ゾーン;5;KNOWN;0,509179
電車線;5;KNOWN;0,480944
電車;5;KNOWN;0,475711
屋根;5;KNOWN;0,447618
動作;5;KNOWN;0,413162
動力車;5;KNOWN;0,40382
SIV;5;KNOWN;0,234057
切換スイッチ;6;KNOWN;0,840902
スイッチ;6;NEW;0,809704
交直セクション注意;6;NEW;0,79384
標識;6;KNOWN;0,74583
セクション;6;KNOWN;0,710018
架線;6;KNOWN;0,536181
乗務員;6;KNOWN;0,511113
電車;6;KNOWN;0,475711
動力車;6;KNOWN;0,40382
惰行;6;KNOWN;0,303737
力行;6;KNOWN;0,211991
ブレーキ;7;KNOWN;0,969234
モーター;7;NEW;0,858013
交流モーター搭載;7;NEW;0,82604
位置;7;NEW;0,771834
切位置;7;NEW;0,731185
車両;7;KNOWN;0,697039
電車線路;7;KNOWN;0,669389
ノッチ;7;KNOWN;0,66657
交直流電車;7;KNOWN;0,622206
空転;7;KNOWN;0,60781
線路;7;KNOWN;0,587081
勾配;7;KNOWN;0,512217
乗務員;7;KNOWN;0,511113
電車;7;KNOWN;0,475711
指令;7;KNOWN;0,438663
動作;7;KNOWN;0,413162
動力車;7;KNOWN;0,40382
編成;7;KNOWN;0,393567
力行;7;KNOWN;0,211991
信号機;8;KNOWN;0,890379
出発信号機;8;KNOWN;0,860994
信号;8;KNOWN;0,847586
列車;8;KNOWN;0,831508
位置;8;NEW;0,771834
入換信号機;8;KNOWN;0,757515
所定停止位置;8;NEW;0,732714
切位置;8;NEW;0,731185
ノッチ;8;KNOWN;0,66657
運転士;8;KNOWN;0,553067
逆転ハンドル;8;KNOWN;0,552207
乗務員;8;KNOWN;0,511113
電車;8;KNOWN;0,475711
現示;8;KNOWN;0,466096
指令;8;KNOWN;0,438663
停車;8;KNOWN;0,428357
逆転;8;KNOWN;0,418552
動力車;8;KNOWN;0,40382
信号機;9;KNOWN;0,890379
ATS切換スイッチ;9;NEW;0,868801
信号;9;KNOWN;0,847586
列車;9;KNOWN;0,831508
スイッチ;9;NEW;0,809704
位置;9;NEW;0,771834
運転線路;9;NEW;0,758131
運転;9;NEW;0,73918
ATS-P搭載車;9;NEW;0,724613
ノッチ;9;KNOWN;0,66657
線路;9;KNOWN;0,587081
乗務員;9;KNOWN;0,511113
電車;9;KNOWN;0,475711
ATS;9;KNOWN;0,470081
現示;9;KNOWN;0,466096
逆転;9;KNOWN;0,418552
動作;9;KNOWN;0,413162
動力車;9;KNOWN;0,40382
合図;9;KNOWN;0,402554
時刻表;9;KNOWN;0,365071
ブレーキ;10;KNOWN;0,969234
自動ブレーキ;10;KNOWN;0,911602
信号機;10;KNOWN;0,890379
ブレーキ弁ハンドル;10;NEW;0,889208
ATS切換スイッチ;10;NEW;0,868801
信号;10;KNOWN;0,847586
列車;10;KNOWN;0,831508
スイッチ;10;NEW;0,809704
直通ブレーキ帯;10;NEW;0,809162
位置;10;NEW;0,771834
進路;10;KNOWN;0,743333
運転;10;NEW;0,73918
ATS-P搭載車;10;NEW;0,724613
ノッチ;10;KNOWN;0,66657
防護無線;10;KNOWN;0,547575
乗務員;10;KNOWN;0,511113
電車;10;KNOWN;0,475711
ATS;10;KNOWN;0,470081
現示;10;KNOWN;0,466096
逆転;10;KNOWN;0,418552
動力車;10;KNOWN;0,40382
切換スイッチ;11;KNOWN;0,840902
列車;11;KNOWN;0,831508
スイッチ;11;NEW;0,809704
位置;11;NEW;0,771834
車掌スイッチ;11;KNOWN;0,769766
後位置;11;NEW;0,741963
運転;11;NEW;0,73918
ホーム;11;KNOWN;0,546344
乗務員;11;KNOWN;0,511113
電車;11;KNOWN;0,475711
車掌;11;KNOWN;0,425622
動力車;11;KNOWN;0,40382
ブレーキ;12;KNOWN;0,969234
ブレーキ管減圧量;12;NEW;0,951373
ブレーキ弁ハンドル;12;NEW;0,889208
ブレーキ弁;12;KNOWN;0,888672
運転方向切換スイッチ;12;NEW;0,882736
ATS切換スイッチ;12;NEW;0,868801
システム;12;NEW;0,859798
GPS運転士支援装置;12;NEW;0,831797
スイッチ;12;NEW;0,809704
ータ分析システム;12;NEW;0,786557
装置;12;NEW;0,785571
位置;12;NEW;0,771834
運転;12;NEW;0,73918
運転士;12;KNOWN;0,553067
逆転ハンドル;12;KNOWN;0,552207
乗務員;12;KNOWN;0,511113
減圧;12;KNOWN;0,489645
電車;12;KNOWN;0,475711
ATS;12;KNOWN;0,470081
車種;12;KNOWN;0,4345
逆転;12;KNOWN;0,418552
動力車;12;KNOWN;0,40382
ブレーキ;13;KNOWN;0,969234
ブレーキ弁ハンドル;13;NEW;0,889208
運転方向切換スイッチ;13;NEW;0,882736
ATS切換スイッチ;13;NEW;0,868801
システム;13;NEW;0,859798
直通ブレーキ;13;KNOWN;0,855202
GPS運転士支援装置;13;NEW;0,831797
スイッチ;13;NEW;0,809704
ータ分析システム;13;NEW;0,786557
装置;13;NEW;0,785571
位置;13;NEW;0,771834
運転;13;NEW;0,73918
運転士;13;KNOWN;0,553067
逆転ハンドル;13;KNOWN;0,552207
乗務員;13;KNOWN;0,511113
電車;13;KNOWN;0,475711
ATS;13;KNOWN;0,470081
指令;13;KNOWN;0,438663
車種;13;KNOWN;0,4345
逆転;13;KNOWN;0,418552
動力車;13;KNOWN;0,40382
BC;13;KNOWN;0,343354
ブレーキ;14;KNOWN;0,969234
ブレーキ動作故;14;NEW;0,965556
ブレーキ弁ハンドル;14;NEW;0,889208
運転方向切換スイッチ;14;NEW;0,882736
ATS切換スイッチ;14;NEW;0,868801
ブレーキ作用;14;KNOWN;0,863762
システム;14;NEW;0,859798
切換スイッチ;14;KNOWN;0,840902
GPS運転士支援装置;14;NEW;0,831797
交直切換スイッチ;14;NEW;0,819343
VCB全入スイッチ;14;NEW;0,818918
スイッチ;14;NEW;0,809704
ータ分析システム;14;NEW;0,786557
装置;14;NEW;0,785571
位置;14;NEW;0,771834
車掌スイッチ;14;KNOWN;0,769766
運転;14;NEW;0,73918
スイッチ類;14;NEW;0,72038
運転士;14;KNOWN;0,553067
逆転ハンドル;14;KNOWN;0,552207
乗務員;14;KNOWN;0,511113
電車;14;KNOWN;0,475711
ATS;14;KNOWN;0,470081
車種;14;KNOWN;0,4345
車掌;14;KNOWN;0,425622
逆転;14;KNOWN;0,418552
動作;14;KNOWN;0,413162
動力車;14;KNOWN;0,40382
ブレーキ;15;KNOWN;0,969234
ブレーキ動作故;15;NEW;0,965556
運転方向切換スイッチ;15;NEW;0,882736
ATS切換スイッチ;15;NEW;0,868801
ブレーキ作用;15;KNOWN;0,863762
システム;15;NEW;0,859798
切換スイッチ;15;KNOWN;0,840902
GPS運転士支援装置;15;NEW;0,831797
交直切換スイッチ;15;NEW;0,819343
VCB全入スイッチ;15;NEW;0,818918
スイッチ;15;NEW;0,809704
運転台選択スイッチ;15;KNOWN;0,803735
ータ分析システム;15;NEW;0,786557
装置;15;NEW;0,785571
位置;15;NEW;0,771834
運転;15;NEW;0,73918
スイッチ類;15;NEW;0,72038
運転士;15;KNOWN;0,553067
逆転ハンドル;15;KNOWN;0,552207
乗務員;15;KNOWN;0,511113
電車;15;KNOWN;0,475711
ATS;15;KNOWN;0,470081
指令;15;KNOWN;0,438663
車種;15;KNOWN;0,4345
逆転;15;KNOWN;0,418552
動作;15;KNOWN;0,413162
動力車;15;KNOWN;0,40382
電灯制御スイッチ;17;NEW;0,909241
切換スイッチ;17;KNOWN;0,840902
列車;17;KNOWN;0,831508
スイッチ;17;NEW;0,809704
位置;17;NEW;0,771834
車掌スイッチ;17;KNOWN;0,769766
標識灯電灯制御分離回路;17;NEW;0,768886
標識;17;KNOWN;0,74583
後位置;17;NEW;0,741963
回送列車;17;NEW;0,726381
運転士;17;KNOWN;0,553067
ホーム;17;KNOWN;0,546344
乗務員;17;KNOWN;0,511113
回送;17;KNOWN;0,477043
電車;17;KNOWN;0,475711
車掌;17;KNOWN;0,425622
